start,tweet_count,DateInt,ticker
4,16736,20230331,TSLA
5,10021,20230401,TSLA
6,14057,20230402,TSLA
0,20772,20230403,TSLA
1,19089,20230404,TSLA
2,18139,20230405,TSLA
3,16304,20230406,TSLA
4,4502,20230331,NVDA
5,2373,20230401,NVDA
6,2581,20230402,NVDA
0,4196,20230403,NVDA
1,4509,20230404,NVDA
2,6076,20230405,NVDA
3,4165,20230406,NVDA
4,5145,20230331,MSFT
5,2347,20230401,MSFT
6,2580,20230402,MSFT
0,4022,20230403,MSFT
1,4871,20230404,MSFT
2,5207,20230405,MSFT
3,5624,20230406,MSFT
4,6505,20230331,AAPL
5,2752,20230401,AAPL
6,3706,20230402,AAPL
0,6126,20230403,AAPL
1,7294,20230404,AAPL
2,8184,20230405,AAPL
3,6884,20230406,AAPL
4,129422,20230331,META
5,103668,20230401,META
6,104909,20230402,META
0,119126,20230403,META
1,117285,20230404,META
2,119912,20230405,META
3,113453,20230406,META
4,2087,20230331,GOOGL
5,1273,20230401,GOOGL
6,848,20230402,GOOGL
0,2035,20230403,GOOGL
1,2274,20230404,GOOGL
2,1900,20230405,GOOGL
3,2445,20230406,GOOGL
4,238090,20230331,AMZN
5,232199,20230401,AMZN
6,217174,20230402,AMZN
0,215134,20230403,AMZN
1,177580,20230404,AMZN
2,170682,20230405,AMZN
3,172217,20230406,AMZN
4,17795,20230331,AMD
5,13928,20230401,AMD
6,12815,20230402,AMD
0,14466,20230403,AMD
1,12764,20230404,AMD
2,13828,20230405,AMD
3,22120,20230406,AMD
4,2767,20230331,GOOG
5,1890,20230401,GOOG
6,2218,20230402,GOOG
0,2502,20230403,GOOG
1,2932,20230404,GOOG
2,3537,20230405,GOOG
3,3057,20230406,GOOG
4,87767,20230331,BABA
5,84790,20230401,BABA
6,140641,20230402,BABA
0,107461,20230403,BABA
1,103561,20230404,BABA
2,116892,20230405,BABA
3,107572,20230406,BABA
4,250704,20230331,MU
5,261373,20230401,MU
6,254172,20230402,MU
0,244681,20230403,MU
1,224357,20230404,MU
2,251797,20230405,MU
3,223889,20230406,MU
4,155079,20230331,COST
5,184063,20230401,COST
6,268797,20230402,COST
0,182224,20230403,COST
1,166279,20230404,COST
2,193650,20230405,COST
3,175440,20230406,COST
4,730,20230331,UNH
5,526,20230401,UNH
6,646,20230402,UNH
0,789,20230403,UNH
1,595,20230404,UNH
2,885,20230405,UNH
3,890,20230406,UNH
4,2641,20230331,XOM
5,1661,20230401,XOM
6,1651,20230402,XOM
0,2495,20230403,XOM
1,2152,20230404,XOM
2,2495,20230405,XOM
3,2441,20230406,XOM
4,948,20230331,JNJ
5,972,20230401,JNJ
6,743,20230402,JNJ
0,882,20230403,JNJ
1,1154,20230404,JNJ
2,2272,20230405,JNJ
3,1121,20230406,JNJ
4,461,20230331,ABNB
5,276,20230401,ABNB
6,261,20230402,ABNB
0,416,20230403,ABNB
1,328,20230404,ABNB
2,396,20230405,ABNB
3,927,20230406,ABNB
4,2073,20230331,NFLX
5,690,20230401,NFLX
6,1166,20230402,NFLX
0,1677,20230403,NFLX
1,1894,20230404,NFLX
2,2064,20230405,NFLX
3,1957,20230406,NFLX
4,870,20230331,SCHW
5,426,20230401,SCHW
6,438,20230402,SCHW
0,445,20230403,SCHW
1,745,20230404,SCHW
2,846,20230405,SCHW
3,641,20230406,SCHW
4,1385683,20230331,AI
5,1285524,20230401,AI
6,1326628,20230402,AI
0,1374782,20230403,AI
1,1637033,20230404,AI
2,1834492,20230405,AI
3,1479162,20230406,AI
4,1388,20230331,LLY
5,1716,20230401,LLY
6,1651,20230402,LLY
0,1652,20230403,LLY
1,1312,20230404,LLY
2,1405,20230405,LLY
3,1288,20230406,LLY
